2025-03-31 13:44:01,107 - INFO - System Monitor: Starting system monitoring...
2025-03-31 13:44:01,109 - INFO - CPU: Usage: 25.0%
2025-03-31 13:44:01,109 - INFO - Memory: Usage: 39.6%
2025-03-31 13:44:01,162 - INFO - System Info: Hostname: 10PC165
2025-03-31 13:44:01,163 - INFO - System Info: Operating System: Windows 10
2025-03-31 13:44:01,163 - INFO - System Info: Python Version: 3.12.8
2025-03-31 13:44:01,168 - INFO - Network: Bytes Sent: 118782049, Bytes Received: 400311451
2025-03-31 13:44:01,168 - INFO - Software: Running Software:
2025-03-31 13:44:01,171 - INFO - Software: PID: 0, Name: System Idle Process, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,172 - INFO - Software: PID: 4, Name: System, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,173 - INFO - Software: PID: 108, Name: Registry, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,173 - INFO - Software: PID: 408, Name: smss.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,173 - INFO - Software: PID: 452, Name: WUDFHost.exe, Username: NT AUTHORITY\LOCAL SERVICE
2025-03-31 13:44:01,174 - INFO - Software: PID: 520, Name: svchost.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,174 - INFO - Software: PID: 600, Name: csrss.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,175 - INFO - Software: PID: 676, Name: wininit.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,175 - INFO - Software: PID: 684, Name: csrss.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,175 - INFO - Software: PID: 748, Name: services.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,175 - INFO - Software: PID: 784, Name: winlogon.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,176 - INFO - Software: PID: 820, Name: lsass.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,176 - INFO - Software: PID: 892, Name: svchost.exe, Username: NT AUTHORITY\NETWORK SERVICE
2025-03-31 13:44:01,177 - INFO - Software: PID: 956, Name: explorer.exe, Username: 10PC165\Administrator
2025-03-31 13:44:01,177 - INFO - Software: PID: 964, Name: svchost.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,178 - INFO - Software: PID: 996, Name: fontdrvhost.exe, Username: Font Driver Host\UMFD-0
2025-03-31 13:44:01,178 - INFO - Software: PID: 1004, Name: fontdrvhost.exe, Username: Font Driver Host\UMFD-1
2025-03-31 13:44:01,179 - INFO - Software: PID: 1088, Name: svchost.exe, Username: NT AUTHORITY\SYSTEM
2025-03-31 13:44:01,179 - INFO - Software: PID: 1100, Name: CCXProcess.exe, Username: 10PC165\Administrator
2025-03-31 13:44:01,179 - INFO - Software: PID: 1156, Name: svchost.exe, Username: NT AUTHORITY\NETWORK SERVICE
2025-03-31 13:44:01,180 - INFO - Software: PID: 1172, Name: dwm.exe, Username: Window Manager\DWM-1
2025-03-31 13:44:01,180 - INFO - Software: PID: 1196, Name: fdlauncher.exe, Username: NT SERVICE\MSSQLFDLauncher$SQLEXPRESS
2025-03-31 13:44:01,180 - INFO - Software: PID: 1248, Name: svchost.exe, Username: NT AUTHORITY\NETWORK SERVICE
2025-03-31 13:44:01,181 - INFO - Software: PID: 1304, Name: svchost.exe, Username: NT AUTHORITY\LOCAL SERVICE
2025-03-31 13:44:01,181 - INFO - Software: PID: 1348, Name: svchost.exe, Username: NT AUTHORITY\LOCAL SERVICE
2025-03-31 13:44:01,181 - INFO - Software: PID: 1392, Name: svchost.exe, Username: NT AUTHORITY\SYSTEM
